User_id,History_course_id,History_course_name
user0001,"0687, 0355, 1677","Sequence Models, Natural Language Processing with Probabilistic Models, NLP: Twitter Sentiment Analysis"
user0002,"0636, 0637, 1787","Exploratory Data Analysis, Exploratory Data Analysis, R Programming"
user0003,"0120, 0286, 2712","Managing Big Data with MySQL, Introduction to Data Analysis Using Excel, Introduction to Deep Learning & Neural Networks with Keras"
user0004,"0406, 0603, 0840","Data Visualization and Communication with Tableau, Practical Predictive Analytics: Models and Methods, Enjoyable Econometrics, Data Modeling and Regression Analysis in Business"
user0005,"0241, 2558, 3025, 3503","Deploy Models with TensorFlow Serving and Flask, Linear Regression with Python, Build a Data Science Web App with Streamlit and Python"
user0006,"0450, 0662, 2696","Hyperparameter Tuning with Neural Network Intelligence, Classification Trees in Python, Clustering Geolocation Data Intelligently in Python"
user0007,"0391, 1808, 3454","Understanding China, 1700-2000: A Data Analytic Approach, Part 2, Social Network Analysis, Visual Analytics with Tableau"
user0008,"2533, 2543, 2564","Explainable Machine Learning with LIME and H2O in R, Machine Learning: Predict Poisonous Mushrooms using a Random Forest Model and the FFTrees Package in R, Deep Learning Inference with Azure ML Studio"
user0009,"2919, 3097, 3260","Building Data Visualization Tools, Google Cloud Platform Big Data and Machine Learning Fundamentals, TensorFlow for CNNs: Learn and Practice CNNs"
user0010,"1581, 2154, 2725","SQL for Data Science, Statistical Forecasting Techniques in Google Sheets, Introduction to Artificial Intelligence (AI)"
user0011,"0088, 0112, 0233","Build Random Forests in R with Azure ML Studio, Bayesian Statistics: Mixture Models, Reproducible Research"
user0012,"0211, 0220, 0241","Text Retrieval and Search Engines, Understanding China, 1700-2000: A Data Analytic Approach, Part 1, Deploy Models with TensorFlow Serving and Flask"
user0013,"0149, 0211, 0288","Analyze Website Visitors with Google Analytics Segments, Text Retrieval and Search Engines, Developing AI Applications on Azure"
user0014,"0220, 0241, 0288","Understanding China, 1700-2000: A Data Analytic Approach, Part 1, Deploy Models with TensorFlow Serving and Flask, Developing AI Applications on Azure"
user0015,"0199, 0211, 0241","Data Science in Stratified Healthcare and Precision Medicine, Text Retrieval and Search Engines, Deploy Models with TensorFlow Serving and Flask"
user0016,"0120, 0286, 0413","Managing Big Data with MySQL, Introduction to Data Analysis Using Excel, Machine Learning: Clustering & Retrieval"
user0017,"0066, 0149, 0396","Introduction to Recommender Systems: Non-Personalized and Content-Based, Analyze Website Visitors with Google Analytics Segments, Production Machine Learning Systems"
user0018,"0108, 0279, 0687","Introduction to Genomic Technologies, Getting Started with AI using IBM Watson, Sequence Models"
user0019,"0330, 0376, 0530","Building a Data Science Team, TensorFlow for CNNs: Transfer Learning, Practical Time Series Analysis"
user0020,"0058, 0221, 0849","Prediction and Control with Function Approximation, Statistical Data Visualization with Seaborn, Build Multilayer Perceptron Models with Keras"
user0021,"0485, 1210, 1792","Draw Insights with Crosstabs Reports in Google Sheets, Code Free Data Science, Data Visualization with Python"
user0022,"1366, 2486, 3352","Merge, Sort and Filter Data in Python Pandas, Feature Engineering, Graph Analytics for Big Data"
user0023,"3399, 3423, 3454","Fake News Detection with Machine Learning, Improving your statistical inferences, Visual Analytics with Tableau"
user0024,"0543, 2854, 3352","Creating Custom Callbacks in Keras, Managing, Describing, and Analyzing Data, Graph Analytics for Big Data"
user0025,"2845, 3349, 3361","Managing, Describing, and Analyzing Data, Data Visualization with Tableau, Data Exploration and Visualization with Python"
user0026,"3352, 3369, 3399","Graph Analytics for Big Data, Image Compression with K-Means Clustering, Fake News Detection with Machine Learning"
user0027,"3334, 3352, 3361","Linear Regression for Business Statistics, Graph Analytics for Big Data, Data Exploration and Visualization with Python"
user0028,"3361, 3369, 3370","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow"
user0029,"3361, 2708","Data Exploration and Visualization with Python, Machine Learning for Data Analysis"
user0030,"3352, 3369, 3376","Graph Analytics for Big Data, Image Compression with K-Means Clustering, Image Data Augmentation with Keras"
user0031,"3352, 3369, 3423","Graph Analytics for Big Data, Image Compression with K-Means Clustering, Improving your statistical inferences"
user0032,"3454, 3465, 3472","Visual Analytics with Tableau, Big Data Integration and Processing, Optimizing Machine Learning Performance"
user0033,"3465, 3472, 3475","Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn"
user0034,"3475, 3483, 3491","Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone"
user0035,"0636, 0637, 1787, 2353","Exploratory Data Analysis, Exploratory Data Analysis, R Programming, Intro to Time Series Analysis in R"
user0036,"0241, 2558, 3025, 3503","Deploy Models with TensorFlow Serving and Flask, Linear Regression with Python, Build a Data Science Web App with Streamlit and Python"
user0037,"3361, 3369, 3399","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Fake News Detection with Machine Learning"
